Invoice Number,Vendor Name,GSTIN,Date,Taxable Amount,CGST,SGST,IGST,Total Amount
INV-2024-0001,Enterprise 19 Ltd,01AAACC0019A1Z1,2023-12-19,218588,19672.92,19672.92,0,257933.84
INV-2024-0002,Enterprise 14 Ltd,03AAACC0014A1Z5,2024-01-27,531044,0,0,95587.92,626631.92
INV-2024-0003,Enterprise 8 Ltd,03AAACC0008A1Z8,2024-02-15,163258,0,0,29386.44,192644.44
INV-2024-0004,Enterprise 3 Ltd,08AAACC0003A1Z5,2024-03-22,905168,81465.12,81465.12,0,1068098.24
INV-2024-0005,Dynamic Dealers,24DDDD2222A1Z3,2023-12-11,751629,67646.61,67646.61,0,886922.22
INV-2024-0006,Enterprise 32 Ltd,05AAACC0032A1Z3,2024-02-19,86068,0,0,15492.24,101560.24
INV-2024-0007,Enterprise 36 Ltd,06AAACC0036A1Z4,2023-11-27,463224,0,0,83380.32,546604.32
INV-2024-0008,Enterprise 32 Ltd,05AAACC0032A1Z3,2024-02-22,145261,13073.49,13073.49,0,171407.98
INV-2024-0009,Enterprise 24 Ltd,08AAACC0024A1Z4,2024-01-09,750403,0,0,135072.54,885475.54
INV-2024-0010,Enterprise 16 Ltd,08AAACC0016A1Z7,2023-11-07,908315,81748.35,81748.35,0,1071811.7
INV-2024-0011,Enterprise 11 Ltd,09AAACC0011A1Z6,2024-03-12,202201,18198.09,18198.09,0,238597.18
INV-2024-0012,Enterprise 7 Ltd,01AAACC0007A1Z1,2024-03-09,367452,33070.68,33070.68,0,433593.36
INV-2024-0013,Enterprise 15 Ltd,02AAACC0015A1Z7,2024-02-09,729551,65659.59,65659.59,0,860870.18
INV-2024-0014,Enterprise 22 Ltd,09AAACC0022A1Z0,2024-01-11,17680,0,0,3182.4,20862.4
INV-2024-0015,Enterprise 39 Ltd,03AAACC0039A1Z5,2024-02-27,437308,39357.72,39357.72,0,516023.44
INV-2024-0016,Enterprise 7 Ltd,01AAACC0007A1Z1,2023-12-09,418322,0,0,75297.96,493619.96
INV-2024-0017,Enterprise 14 Ltd,03AAACC0014A1Z5,2024-02-16,187376,16863.84,16863.84,0,221103.68
INV-2024-0018,Enterprise 8 Ltd,03AAACC0008A1Z8,2023-12-17,277288,0,0,49911.84,327199.84
INV-2024-0019,Enterprise 30 Ltd,04AAACC0030A1Z2,2024-03-27,513806,46242.54,46242.54,0,606291.08
INV-2024-0020,Enterprise 10 Ltd,01AAACC0010A1Z0,2024-03-11,91268,0,0,16428.24,107696.24
INV-2024-0021,Enterprise 25 Ltd,08AAACC0025A1Z3,2024-03-18,737427,0,0,132736.86,870163.86
INV-2024-0022,Enterprise 8 Ltd,03AAACC0008A1Z8,2024-01-21,117941,0,0,21229.38,139170.38
INV-2024-0023,Enterprise 1 Ltd,03AAACC0001A1Z3,2024-02-11,48421,4357.89,4357.89,0,57136.78
INV-2024-0024,Enterprise 27 Ltd,08AAACC0027A1Z8,2024-03-15,84821,0,0,15267.78,100088.78
INV-2024-0025,Enterprise 32 Ltd,05AAACC0032A1Z3,2024-01-22,205557,18500.13,18500.13,0,242557.26
INV-2024-0026,Enterprise 13 Ltd,01AAACC0013A1Z8,2024-02-21,600167,0,0,108030.06,708197.06
INV-2024-0027,Enterprise 28 Ltd,03AAACC0028A1Z7,2024-01-19,585204,52668.36,52668.36,0,690540.72
INV-2024-0028,Enterprise 21 Ltd,05AAACC0021A1Z8,2024-01-19,634220,57079.8,57079.8,0,748379.6
INV-2024-0029,Enterprise 11 Ltd,09AAACC0011A1Z6,2023-11-04,759344,0,0,136681.92,896025.92
INV-2024-0030,TechNova Solutions,27AADCT1234E1Z1,2023-11-10,898407,0,0,161713.26,1060120.26
INV-2024-0031,Enterprise 24 Ltd,08AAACC0024A1Z4,2023-11-05,184679,0,0,33242.22,217921.22
INV-2024-0032,Enterprise 8 Ltd,03AAACC0008A1Z8,2023-12-22,234312,0,0,42176.16,276488.16
INV-2024-0033,Nexus Traders,09GGGG5555A1Z7,2024-03-15,609388,54844.92,54844.92,0,719077.84
INV-2024-0034,Enterprise 4 Ltd,07AAACC0004A1Z3,2024-02-06,576997,51929.73,51929.73,0,680856.46
INV-2024-0035,Enterprise 10 Ltd,01AAACC0010A1Z0,2024-02-26,571613,0,0,102890.34,674503.34
INV-2024-0036,Enterprise 43 Ltd,05AAACC0043A1Z3,2024-03-20,740476,66642.84,66642.84,0,873761.68
INV-2024-0037,Enterprise 2 Ltd,08AAACC0002A1Z5,2023-11-03,634629,0,0,114233.22,748862.22
INV-2024-0038,Enterprise 38 Ltd,04AAACC0038A1Z2,2024-01-06,533994,48059.46,48059.46,0,630112.92
INV-2024-0039,Rapid Delivery,14FFFF4444A1Z6,2024-03-28,520649,46858.41,46858.41,0,614365.82
INV-2024-0040,Enterprise 9 Ltd,02AAACC0009A1Z6,2024-02-20,731599,65843.91,65843.91,0,863286.82
INV-2024-0041,Enterprise 19 Ltd,01AAACC0019A1Z1,2023-11-22,308472,27762.48,27762.48,0,363996.96
INV-2024-0042,Enterprise 20 Ltd,05AAACC0020A1Z0,2024-03-26,453532,40817.88,40817.88,0,535167.76
INV-2024-0043,Enterprise 24 Ltd,08AAACC0024A1Z4,2024-03-17,77334,0,0,13920.12,91254.12
INV-2024-0044,Rapid Delivery,14FFFF4444A1Z6,2024-03-05,647657,0,0,116578.26,764235.26
INV-2024-0045,Enterprise 6 Ltd,02AAACC0006A1Z2,2024-01-26,332221,0,0,59799.78,392020.78
INV-2024-0046,Enterprise 17 Ltd,04AAACC0017A1Z7,2023-12-09,374589,0,0,67426.02,442015.02
INV-2024-0047,Enterprise 18 Ltd,09AAACC0018A1Z2,2024-03-04,715569,0,0,128802.42,844371.42
INV-2024-0048,Enterprise 10 Ltd,01AAACC0010A1Z0,2023-12-07,581905,0,0,104742.9,686647.9
INV-2024-0049,Enterprise 43 Ltd,05AAACC0043A1Z3,2024-01-14,495369,0,0,89166.42,584535.42
